side,nerve,segment,function,muscle,rank,segID,id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position,preferred_pool
R,Dorsal,thorax,stance,tergopleural_promotor_pleural_promotor_miller_28_30,0,648518346491452870,360,t,D1_T1R,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,73749331324539394,648518346491452870,[49611 86600  2367],
R,Dorsal,thorax,stance,tergopleural_promotor_pleural_promotor_miller_28_30,0,648518346493967627,361,t,D1_T1R,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,73608524982582780,648518346493967627,[46817 85529  2115],
R,Dorsal,thorax,stance,tergopleural_promotor_pleural_promotor_miller_28_30,0,648518346486571929,362,t,D2_T1R,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,73960506008175526,648518346486571929,[56980 88953  1882],
R,Dorsal,thorax,stance,tergopleural_promotor_pleural_promotor_miller_28_30,0,648518346503917664,363,t,D2_T1R,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,73960506075264717,648518346503917664,[57123 89956  2003],
R,Leg,tibia,unknown,tarsus_unidentified,A1,648518346491497534,364,t,L1_T1R,tarsus_unidentified_in_tibia_A1,73960437825177284,648518346491497534,[55792 86474  2850],
R,Leg,femur,flex,auxiliary_tibia_flexor,A1,648518346483182756,365,t,L1_T1R,auxiliary_tibia_flexor_in_femur_A1,73960437825499197,648518346483182756,[56585 87472  2864],
R,Leg,femur,flex,auxiliary_tibia_flexor,A1,648518346492577211,366,t,L1_T1R,auxiliary_tibia_flexor_in_femur_A1,73819700269945592,648518346492577211,[51575 87958  2719],
R,Leg,femur,flex,auxiliary_tibia_flexor,A2,648518346479180177,367,t,L1_T1R,auxiliary_tibia_flexor_in_femur_A2,73749262739215644,648518346479180177,[50254 84462  2603],
L,Ventral,thorax,extend,extracoxal_trochanter_depressor,Vn,648518346480146342,345,t,V3_T1L,extracoxal_trochanter_depressor_in_thorax_Vn,72905043430667926,648518346480146342,[24901 92075  1586],trochanter_extension
R,Leg,femur,flex,auxiliary_tibia_flexor,A2,648518346492305091,369,t,L1_T1R,auxiliary_tibia_flexor_in_femur_A2,73819631483474788,648518346492305091,[51235 85355  2615],
R,Leg,tibia,unknown,tarsus_unidentified,A2,648518346492073516,370,t,L1_T1R,tarsus_unidentified_in_tibia_A2,73960437892513380,648518346492073516,[55781 86850  2962],
R,Leg,tibia,unknown,tarsus_unidentified,Bslow,648518346490347786,371,t,L1_T1R,tarsus_unidentified_in_tibia_Bslow,74101312887129734,648518346490347786,[60545 91348  3206],
R,Leg,femur,flex,auxiliary_tibia_flexor,Bslow,648518346490791971,372,t,L1_T1R,auxiliary_tibia_flexor_in_femur_Bslow,73819768922406076,648518346490791971,[52108 90029  2637],
R,Leg,femur,flex,auxiliary_tibia_flexor,Bslow,648518346489629023,374,t,L1_T1R,auxiliary_tibia_flexor_in_femur_Bslow,73890068947161648,648518346489629023,[55014 88060  2655],
R,Leg,femur,flex,main_tibia_flexor,0,648518346492593595,376,t,L1_T1R,main_tibia_flexor_in_femur_0,73890000227748737,648518346492593595,[54730 84777  2673],
R,Leg,femur,flex,main_tibia_flexor,0,648518346494836402,377,t,L1_T1R,main_tibia_flexor_in_femur_0,73890000361715668,648518346494836402,[53830 85759  2840],
R,Leg,femur,flex,main_tibia_flexor,2,648518346483122764,378,t,L1_T1R,main_tibia_flexor_in_femur_2,73960437557109121,648518346483122764,[56202 87404  2385],
R,Leg,femur,flex,main_tibia_flexor,3,648518346481236837,379,t,L1_T1R,main_tibia_flexor_in_femur_3,73890068879967186,648518346481236837,[55099 86761  2472],
R,Leg,femur,flex,main_tibia_flexor,4,648518346503918688,380,t,L1_T1R,main_tibia_flexor_in_femur_4,73960506477789730,648518346503918688,[55504 89665  2706],
R,Leg,ltm,claw,ltm,large,648518346499420391,382,t,L1_T1R,ltm_medial_dendrite,73890137867990982,648518346499420391,[54437 89811  3016],
R,Leg,ltm,claw,ltm,large,648518346503908960,383,t,L1_T1R,ltm_medial_dendrite,73819837910227031,648518346503908960,[52198 90252  3100],
R,Leg,ltm,claw,ltm,large,648518346477866733,384,t,L1_T1R,ltm_medial_dendrite,73960437691586049,648518346477866733,[56540 87205  2684],
R,Leg,ltm,claw,ltm,small,648518346500391640,385,t,L1_T1R,ltm_small_medial_dendrite,73749400245377010,648518346500391640,[50961 89725  2766],
R,Leg,ltm,claw,ltm,small,648518346501223267,386,t,L1_T1R,ltm_small_medial_dendrite,73819700404195122,648518346501223267,[52311 87533  3006],
R,Leg,ltm,claw,ltm,tiny,648518346489905626,387,t,L1_T1R,ltm_no_medial_dendrite,74030806234050087,648518346489905626,[57401 86881  2238],
R,Leg,ltm,claw,ltm,tiny,648518346492029228,388,t,L1_T1R,ltm_no_medial_dendrite,73819631617655521,648518346492029228,[52610 85976  2897],
R,Leg,tibia,flex,tarsus_depressor,ventralU,648518346503918944,389,t,L1_T1R,tarsus_depressor_in_tibia_ventralU,73960575063225510,648518346503918944,[56097 90227  2545],
L,Leg,tibia,flex,tarsus_depressor,ventralU,648518346496005478,320,t,L1_T1L,tarsus_depressor_in_tibia_ventralU,73045712736535157,648518346496005478,[29188 88984  2669],tarsus_depressor_med_venU
R,Leg,tibia,unknown,tarsus_unidentified,E,648518346500346328,391,t,L1_T1R,tarsus_unidentified_in_tibia_E,73960506544632062,648518346500346328,[55946 88273  2837],
R,Leg,tibia,unknown,tarsus_unidentified,E,648518346489631583,392,t,L1_T1R,tarsus_unidentified_in_tibia_E,73890069148461383,648518346489631583,[53704 86535  3021],
R,Leg,femur,flex,auxiliary_tibia_flexor,E,648518346488768349,393,t,L1_T1R,auxiliary_tibia_flexor_in_femur_E,73960575398314926,648518346488768349,[56856 90127  3086],
R,Leg,trochanter,reductor,femur_reductor,0,648518346486618829,394,t,L2_T1R,femur_reductor_in_trochanter,73608525183925532,648518346486618829,[46927 85388  2543],
R,Leg,trochanter,reductor,femur_reductor,0,648518346499935750,395,t,L2_T1R,femur_reductor_in_trochanter,73960506142445890,648518346499935750,[55843 88497  2179],
R,Leg,trochanter,reductor,femur_reductor,0,648518346486619085,396,t,L2_T1R,femur_reductor_in_trochanter,73819768922192827,648518346486619085,[52534 88655  2584],
R,Leg,trochanter,reductor,femur_reductor,0,648518346499760851,397,t,L2_T1R,femur_reductor_in_trochanter,73890137464982500,648518346499760851,[53993 89622  2196],
R,Leg,trochanter,reductor,femur_reductor,0,648518346479173009,398,t,L2_T1R,femur_reductor_in_trochanter_0,74101243831732131,648518346479173009,[60898 90061  2564],
R,Leg,coxa,flex,trochanter_promotor,0,648518346520187729,400,t,L3_T1R,trochanter_promotor_in_coxa,73890137532483542,648518346520187729,[53838 88150  2407],
R,Leg,coxa,flex,trochanter_promotor,0,648518346490347530,401,t,L3_T1R,trochanter_promotor_in_coxa,73819631349233966,648518346490347530,[53178 84262  2372],
